,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
387,17,19,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
388,17,20,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
389,17,21,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
390,17,22,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
391,17,23,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
392,17,24,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
393,17,25,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
394,17,26,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
395,17,27,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
396,17,28,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
397,17,29,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
398,17,30,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
399,17,31,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
400,17,32,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
401,17,33,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
402,17,34,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
403,17,35,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
404,17,36,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
405,17,37,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
406,17,38,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
407,17,39,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
408,18,6,2749.7162500000004,549943.25,46.2398108946436,41665.99999999994
409,18,7,2749.7162500000004,549943.25,46.2398108946436,41665.99999999994
